1384310082354	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/model/CCCompileErrorManager.java/1384310019708.java
1384310081671	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/model/CCCompileErrorManager.java/1384310019708.java
1384310081672	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/sourcefinder/CCSourceFinder.java/1384310019710.java
1384310081672	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/sourcefinder/CCSourceFinder.java/1384310019710.java
1384310082389	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/sourcefinder/CCSourceFinder.java/1384310019710.java
1384310081672	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/sourcefinder/CCSourceFinder.java/1384310019710.java
1384310081673	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCAchivementButton.java/1384310019713.java
1384310081673	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCAchivementButton.java/1384310019713.java
1384310082425	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCAchivementButton.java/1384310019713.java
1384310081674	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCAchivementButton.java/1384310019713.java
1384310081674	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCAchivementFrame.java/1384310019714.java
1384310081674	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCAchivementFrame.java/1384310019714.java
1384310082462	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCAchivementFrame.java/1384310019714.java
1384310081675	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCAchivementFrame.java/1384310019714.java
1384310081675	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCErrorElementButton2.java/1384310019724.java
1384310081675	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCErrorElementButton2.java/1384310019724.java
1384310082499	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCErrorElementButton2.java/1384310019724.java
